"","sub","trial","rt","rtcs","rtc","expname","pictname","objnr","catnr","itnr","setpos","rep","simseq","aoa_set","homhet","setno","randrf"
"59",1,64,483,"/",1,"aoa1","banana.pla",5,2,69,3,5,2,1,2,9,3421
"60",1,65,653,"/",1,"aoa1","frog.pla",4,1,69,4,5,2,1,2,9,3421
"61",1,66,405,"/",1,"aoa1","trousers.pla",14,4,70,1,6,2,1,2,9,4213
"62",1,67,457,"/",1,"aoa1","banana.pla",5,2,70,2,6,2,1,2,9,4213
"63",1,68,628,"/",1,"aoa1","frog.pla",4,1,70,3,6,2,1,2,9,4213
"64",1,69,548,"/",1,"aoa1","ptbrush.pla",9,3,70,4,6,2,1,2,9,4213
"65",1,70,606,"/",1,"aoa1","pear.pla",6,2,9,1,1,2,1,1,2,2143
"66",1,71,540,"/",1,"aoa1","banana.pla",5,2,9,2,1,2,1,1,2,2143
"67",1,72,498,"/",1,"aoa1","carrot.pla",8,2,9,3,1,2,1,1,2,2143
"68",1,73,551,"/",1,"aoa1","orange.pla",7,2,9,4,1,2,1,1,2,2143
"69",1,74,665,"/",1,"aoa1","carrot.pla",8,2,10,1,2,2,1,1,2,4231
"70",1,75,549,"/",1,"aoa1","pear.pla",6,2,10,2,2,2,1,1,2,4231
"71",1,76,555,"/",1,"aoa1","orange.pla",7,2,10,3,2,2,1,1,2,4231
"72",1,77,495,"/",1,"aoa1","banana.pla",5,2,10,4,2,2,1,1,2,4231
"73",1,78,511,"/",1,"aoa1","orange.pla",7,2,11,1,3,2,1,1,2,3124
"74",1,79,464,"/",1,"aoa1","banana.pla",5,2,11,2,3,2,1,1,2,3124
"75",1,80,587,"/",1,"aoa1","pear.pla",6,2,11,3,3,2,1,1,2,3124
"76",1,81,532,"/",1,"aoa1","carrot.pla",8,2,11,4,3,2,1,1,2,3124
"77",1,82,481,"/",1,"aoa1","banana.pla",5,2,12,1,4,2,1,1,2,1342
"78",1,83,569,"/",1,"aoa1","orange.pla",7,2,12,2,4,2,1,1,2,1342
"79",1,84,630,"/",1,"aoa1","carrot.pla",8,2,12,3,4,2,1,1,2,1342
"80",1,85,554,"/",1,"aoa1","pear.pla",6,2,12,4,4,2,1,1,2,1342
"81",1,86,489,"/",1,"aoa1","orange.pla",7,2,13,1,5,2,1,1,2,3214
"82",1,87,607,"/",1,"aoa1","pear.pla",6,2,13,2,5,2,1,1,2,3214
"83",1,88,521,"/",1,"aoa1","banana.pla",5,2,13,3,5,2,1,1,2,3214
"84",1,89,642,"/",1,"aoa1","carrot.pla",8,2,13,4,5,2,1,1,2,3214
"85",1,90,493,"/",1,"aoa1","banana.pla",5,2,14,1,6,2,1,1,2,1432
"86",1,91,429,"/",1,"aoa1","carrot.pla",8,2,14,2,6,2,1,1,2,1432
"87",1,92,532,"/",1,"aoa1","orange.pla",7,2,14,3,6,2,1,1,2,1432
"88",1,93,595,"/",1,"aoa1","pear.pla",6,2,14,4,6,2,1,1,2,1432
"89",1,94,503,"/",1,"aoa1","rabbit.pla",2,1,73,1,1,2,1,2,10,1432
"90",1,95,526,"/",1,"aoa1","shoe.pla",16,4,73,2,1,2,1,2,10,1432
"91",1,96,563,"/",1,"aoa1","hammer.pla",11,3,73,3,1,2,1,2,10,1432
"92",1,97,472,"/",1,"aoa1","carrot.pla",8,2,73,4,1,2,1,2,10,1432
"93",1,98,495,"/",1,"aoa1","shoe.pla",16,4,74,1,2,2,1,2,10,4213
"94",1,99,534,"/",1,"aoa1","carrot.pla",8,2,74,2,2,2,1,2,10,4213
"95",1,100,467,"/",1,"aoa1","rabbit.pla",2,1,74,3,2,2,1,2,10,4213
"96",1,101,593,"/",1,"aoa1","hammer.pla",11,3,74,4,2,2,1,2,10,4213
"97",1,102,497,"/",1,"aoa1","carrot.pla",8,2,75,1,3,2,1,2,10,2341
"98",1,103,528,"/",1,"aoa1","hammer.pla",11,3,75,2,3,2,1,2,10,2341
"99",1,104,538,"/",1,"aoa1","shoe.pla",16,4,75,3,3,2,1,2,10,2341
"100",1,105,514,"/",1,"aoa1","rabbit.pla",2,1,75,4,3,2,1,2,10,2341
"101",1,106,641,"/",1,"aoa1","hammer.pla",11,3,76,1,4,2,1,2,10,3124
"102",1,107,509,"/",1,"aoa1","rabbit.pla",2,1,76,2,4,2,1,2,10,3124
"103",1,108,538,"/",1,"aoa1","carrot.pla",8,2,76,3,4,2,1,2,10,3124
"104",1,109,556,"/",1,"aoa1","shoe.pla",16,4,76,4,4,2,1,2,10,3124
"105",1,110,469,"/",1,"aoa1","rabbit.pla",2,1,77,1,5,2,1,2,10,1432
"106",1,111,588,"/",1,"aoa1","shoe.pla",16,4,77,2,5,2,1,2,10,1432
"107",1,112,648,"/",1,"aoa1","hammer.pla",11,3,77,3,5,2,1,2,10,1432
"109",1,114,621,"/",1,"aoa1","hammer.pla",11,3,78,1,6,2,1,2,10,3124
"110",1,115,573,"/",1,"aoa1","rabbit.pla",2,1,78,2,6,2,1,2,10,3124
"111",1,116,530,"/",1,"aoa1","carrot.pla",8,2,78,3,6,2,1,2,10,3124
"112",1,117,456,"/",1,"aoa1","shoe.pla",16,4,78,4,6,2,1,2,10,3124
"113",1,120,677,"/",1,"aoa1","lion.pla",3,1,81,1,1,2,1,2,11,1234
"114",1,121,573,"/",1,"aoa1","orange.pla",7,2,81,2,1,2,1,2,11,1234
"115",1,122,679,"/",1,"aoa1","scissors.pla",10,3,81,3,1,2,1,2,11,1234
"116",1,123,605,"/",1,"aoa1","jumper.pla",13,4,81,4,1,2,1,2,11,1234
"117",1,124,596,"/",1,"aoa1","scissors.pla",10,3,82,1,2,2,1,2,11,3142
"118",1,125,577,"/",1,"aoa1","lion.pla",3,1,82,2,2,2,1,2,11,3142
"119",1,126,564,"/",1,"aoa1","jumper.pla",13,4,82,3,2,2,1,2,11,3142
"120",1,127,544,"/",1,"aoa1","orange.pla",7,2,82,4,2,2,1,2,11,3142
"121",1,128,563,"/",1,"aoa1","jumper.pla",13,4,83,1,3,2,1,2,11,4231
"122",1,129,571,"/",1,"aoa1","orange.pla",7,2,83,2,3,2,1,2,11,4231
"123",1,130,533,"/",1,"aoa1","scissors.pla",10,3,83,3,3,2,1,2,11,4231
"124",1,131,551,"/",1,"aoa1","lion.pla",3,1,83,4,3,2,1,2,11,4231
"125",1,132,519,"/",1,"aoa1","orange.pla",7,2,84,1,4,2,1,2,11,2314
"126",1,133,552,"/",1,"aoa1","scissors.pla",10,3,84,2,4,2,1,2,11,2314
"127",1,134,530,"/",1,"aoa1","lion.pla",3,1,84,3,4,2,1,2,11,2314
"128",1,135,579,"/",1,"aoa1","jumper.pla",13,4,84,4,4,2,1,2,11,2314
"129",1,136,604,"/",1,"aoa1","lion.pla",3,1,85,1,5,2,1,2,11,1423
"130",1,137,544,"/",1,"aoa1","jumper.pla",13,4,85,2,5,2,1,2,11,1423
"131",1,138,514,"/",1,"aoa1","orange.pla",7,2,85,3,5,2,1,2,11,1423
"132",1,139,574,"/",1,"aoa1","scissors.pla",10,3,85,4,5,2,1,2,11,1423
"133",1,140,526,"/",1,"aoa1","jumper.pla",13,4,86,1,6,2,1,2,11,4312
"134",1,141,472,"/",1,"aoa1","scissors.pla",10,3,86,2,6,2,1,2,11,4312
"135",1,142,556,"/",1,"aoa1","lion.pla",3,1,86,3,6,2,1,2,11,4312
"136",1,143,540,"/",1,"aoa1","orange.pla",7,2,86,4,6,2,1,2,11,4312
"137",1,144,626,"/",1,"aoa1","hammer.pla",11,3,17,1,1,2,1,1,3,3214
"138",1,145,494,"/",1,"aoa1","scissors.pla",10,3,17,2,1,2,1,1,3,3214
"139",1,146,711,"/",1,"aoa1","ptbrush.pla",9,3,17,3,1,2,1,1,3,3214
"140",1,147,532,"/",1,"aoa1","ladder.pla",12,3,17,4,1,2,1,1,3,3214
"141",1,148,638,"/",1,"aoa1","ptbrush.pla",9,3,18,1,2,2,1,1,3,1342
"142",1,149,655,"/",1,"aoa1","hammer.pla",11,3,18,2,2,2,1,1,3,1342
"143",1,150,557,"/",1,"aoa1","ladder.pla",12,3,18,3,2,2,1,1,3,1342
"144",1,151,584,"/",1,"aoa1","scissors.pla",10,3,18,4,2,2,1,1,3,1342
"145",1,152,481,"/",1,"aoa1","ladder.pla",12,3,19,1,3,2,1,1,3,4123
"147",1,154,535,"/",1,"aoa1","scissors.pla",10,3,19,3,3,2,1,1,3,4123
"148",1,155,622,"/",1,"aoa1","hammer.pla",11,3,19,4,3,2,1,1,3,4123
"149",1,156,519,"/",1,"aoa1","scissors.pla",10,3,20,1,4,2,1,1,3,2431
"150",1,157,535,"/",1,"aoa1","ladder.pla",12,3,20,2,4,2,1,1,3,2431
"151",1,158,700,"/",1,"aoa1","hammer.pla",11,3,20,3,4,2,1,1,3,2431
"152",1,159,571,"/",1,"aoa1","ptbrush.pla",9,3,20,4,4,2,1,1,3,2431
"153",1,160,627,"/",1,"aoa1","hammer.pla",11,3,21,1,5,2,1,1,3,3142
"154",1,161,551,"/",1,"aoa1","ptbrush.pla",9,3,21,2,5,2,1,1,3,3142
"155",1,162,563,"/",1,"aoa1","ladder.pla",12,3,21,3,5,2,1,1,3,3142
"156",1,163,498,"/",1,"aoa1","scissors.pla",10,3,21,4,5,2,1,1,3,3142
"157",1,164,535,"/",1,"aoa1","ladder.pla",12,3,22,1,6,2,1,1,3,4231
"158",1,165,541,"/",1,"aoa1","scissors.pla",10,3,22,2,6,2,1,1,3,4231
"159",1,166,580,"/",1,"aoa1","hammer.pla",11,3,22,3,6,2,1,1,3,4231
"160",1,167,607,"/",1,"aoa1","ptbrush.pla",9,3,22,4,6,2,1,1,3,4231
"161",1,168,470,"/",1,"aoa1","spider.pla",1,1,89,1,1,2,1,2,12,1234
"162",1,169,594,"/",1,"aoa1","pear.pla",6,2,89,2,1,2,1,2,12,1234
"164",1,171,550,"/",1,"aoa1","dress.pla",15,4,89,4,1,2,1,2,12,1234
"165",1,172,494,"/",1,"aoa1","ladder.pla",12,3,90,1,2,2,1,2,12,3412
"166",1,173,667,"/",1,"aoa1","dress.pla",15,4,90,2,2,2,1,2,12,3412
"167",1,174,470,"/",1,"aoa1","spider.pla",1,1,90,3,2,2,1,2,12,3412
"168",1,175,620,"/",1,"aoa1","pear.pla",6,2,90,4,2,2,1,2,12,3412
"169",1,176,514,"/",1,"aoa1","dress.pla",15,4,91,1,3,2,1,2,12,4321
"170",1,177,510,"/",1,"aoa1","ladder.pla",12,3,91,2,3,2,1,2,12,4321
"171",1,178,662,"/",1,"aoa1","pear.pla",6,2,91,3,3,2,1,2,12,4321
"172",1,179,439,"/",1,"aoa1","spider.pla",1,1,91,4,3,2,1,2,12,4321
"173",1,180,644,"/",1,"aoa1","pear.pla",6,2,92,1,4,2,1,2,12,2143
"174",1,181,422,"/",1,"aoa1","spider.pla",1,1,92,2,4,2,1,2,12,2143
"175",1,182,501,"/",1,"aoa1","dress.pla",15,4,92,3,4,2,1,2,12,2143
"176",1,183,450,"/",1,"aoa1","ladder.pla",12,3,92,4,4,2,1,2,12,2143
"177",1,184,442,"/",1,"aoa1","spider.pla",1,1,93,1,5,2,1,2,12,1324
"178",1,185,413,"/",1,"aoa1","ladder.pla",12,3,93,2,5,2,1,2,12,1324
"179",1,186,593,"/",1,"aoa1","pear.pla",6,2,93,3,5,2,1,2,12,1324
"180",1,187,459,"/",1,"aoa1","dress.pla",15,4,93,4,5,2,1,2,12,1324
"181",1,188,630,"/",1,"aoa1","pear.pla",6,2,94,1,6,2,1,2,12,2413
"182",1,189,456,"/",1,"aoa1","dress.pla",15,4,94,2,6,2,1,2,12,2413
"183",1,190,408,"/",1,"aoa1","spider.pla",1,1,94,3,6,2,1,2,12,2413
"184",1,191,387,"/",1,"aoa1","ladder.pla",12,3,94,4,6,2,1,2,12,2413
"185",1,192,575,"/",1,"aoa1","jumper.pla",13,4,25,1,1,2,1,1,4,1234
"186",1,193,626,"/",1,"aoa1","trousers.pla",14,4,25,2,1,2,1,1,4,1234
"187",1,194,543,"/",1,"aoa1","dress.pla",15,4,25,3,1,2,1,1,4,1234
"188",1,195,420,"/",1,"aoa1","shoe.pla",16,4,25,4,1,2,1,1,4,1234
"189",1,196,620,"/",1,"aoa1","dress.pla",15,4,26,1,2,2,1,1,4,3142
"190",1,197,573,"/",1,"aoa1","jumper.pla",13,4,26,2,2,2,1,1,4,3142
"191",1,198,553,"/",1,"aoa1","shoe.pla",16,4,26,3,2,2,1,1,4,3142
"192",1,199,480,"/",1,"aoa1","trousers.pla",14,4,26,4,2,2,1,1,4,3142
"193",1,200,556,"/",1,"aoa1","jumper.pla",13,4,27,1,3,2,1,1,4,1324
"194",1,201,548,"/",1,"aoa1","dress.pla",15,4,27,2,3,2,1,1,4,1324
"195",1,202,504,"/",1,"aoa1","trousers.pla",14,4,27,3,3,2,1,1,4,1324
"196",1,203,469,"/",1,"aoa1","shoe.pla",16,4,27,4,3,2,1,1,4,1324
"197",1,204,483,"/",1,"aoa1","trousers.pla",14,4,28,1,4,2,1,1,4,2413
"198",1,205,513,"/",1,"aoa1","shoe.pla",16,4,28,2,4,2,1,1,4,2413
"199",1,206,501,"/",1,"aoa1","jumper.pla",13,4,28,3,4,2,1,1,4,2413
"200",1,207,654,"/",1,"aoa1","dress.pla",15,4,28,4,4,2,1,1,4,2413
"201",1,208,480,"/",1,"aoa1","shoe.pla",16,4,29,1,5,2,1,1,4,4321
"202",1,209,583,"/",1,"aoa1","dress.pla",15,4,29,2,5,2,1,1,4,4321
"203",1,210,618,"/",1,"aoa1","trousers.pla",14,4,29,3,5,2,1,1,4,4321
"204",1,211,564,"/",1,"aoa1","jumper.pla",13,4,29,4,5,2,1,1,4,4321
"205",1,212,500,"/",1,"aoa1","trousers.pla",14,4,30,1,6,2,1,1,4,2143
"206",1,213,498,"/",1,"aoa1","jumper.pla",13,4,30,2,6,2,1,1,4,2143
"207",1,214,564,"/",1,"aoa1","shoe.pla",16,4,30,3,6,2,1,1,4,2143
"208",1,215,539,"/",1,"aoa1","dress.pla",15,4,30,4,6,2,1,1,4,2143
"225",1,236,636,"/",1,"aoa1","mitten.pla",21,6,41,1,1,2,2,1,6,1324
"226",1,237,528,"/",1,"aoa1","tights.pla",23,6,41,2,1,2,2,1,6,1324
"227",1,238,536,"/",1,"aoa1","waistct.pla",22,6,41,3,1,2,2,1,6,1324
"228",1,239,490,"/",1,"aoa1","shawl.pla",24,6,41,4,1,2,2,1,6,1324
"229",1,240,488,"/",1,"aoa1","waistct.pla",22,6,42,1,2,2,2,1,6,2413
"230",1,241,414,"/",1,"aoa1","shawl.pla",24,6,42,2,2,2,2,1,6,2413
"231",1,242,451,"/",1,"aoa1","mitten.pla",21,6,42,3,2,2,2,1,6,2413
"232",1,243,594,"/",1,"aoa1","tights.pla",23,6,42,4,2,2,2,1,6,2413
"234",1,245,606,"/",1,"aoa1","tights.pla",23,6,43,2,3,2,2,1,6,4321
"235",1,246,555,"/",1,"aoa1","waistct.pla",22,6,43,3,3,2,2,1,6,4321
"236",1,247,487,"/",1,"aoa1","mitten.pla",21,6,43,4,3,2,2,1,6,4321
"237",1,248,589,"/",1,"aoa1","tights.pla",23,6,44,1,4,2,2,1,6,3142
"238",1,249,480,"/",1,"aoa1","mitten.pla",21,6,44,2,4,2,2,1,6,3142
"239",1,250,627,"/",1,"aoa1","shawl.pla",24,6,44,3,4,2,2,1,6,3142
"240",1,251,567,"/",1,"aoa1","waistct.pla",22,6,44,4,4,2,2,1,6,3142
"241",1,252,499,"/",1,"aoa1","mitten.pla",21,6,45,1,5,2,2,1,6,1234
"242",1,253,539,"/",1,"aoa1","waistct.pla",22,6,45,2,5,2,2,1,6,1234
"243",1,254,555,"/",1,"aoa1","tights.pla",23,6,45,3,5,2,2,1,6,1234
"244",1,255,517,"/",1,"aoa1","shawl.pla",24,6,45,4,5,2,2,1,6,1234
"245",1,256,453,"/",1,"aoa1","tights.pla",23,6,46,1,6,2,2,1,6,3412
"246",1,257,456,"/",1,"aoa1","shawl.pla",24,6,46,2,6,2,2,1,6,3412
"247",1,258,533,"/",1,"aoa1","mitten.pla",21,6,46,3,6,2,2,1,6,3412
"248",1,259,550,"/",1,"aoa1","waistct.pla",22,6,46,4,6,2,2,1,6,3412
"249",1,260,628,"/",1,"aoa1","broom.pla",31,8,105,1,1,2,2,2,14,4123
"250",1,261,532,"/",1,"aoa1","lettuce.pla",20,5,105,2,1,2,2,2,14,4123
"251",1,262,633,"/",1,"aoa1","waistct.pla",22,6,105,3,1,2,2,2,14,4123
"252",1,263,640,"/",1,"aoa1","camel.pla",25,7,105,4,1,2,2,2,14,4123
"253",1,264,522,"/",1,"aoa1","waistct.pla",22,6,106,1,2,2,2,2,14,2431
"254",1,265,561,"/",1,"aoa1","broom.pla",31,8,106,2,2,2,2,2,14,2431
"255",1,266,585,"/",1,"aoa1","camel.pla",25,7,106,3,2,2,2,2,14,2431
"256",1,267,510,"/",1,"aoa1","lettuce.pla",20,5,106,4,2,2,2,2,14,2431
"257",1,268,500,"/",1,"aoa1","camel.pla",25,7,107,1,3,2,2,2,14,3214
"258",1,269,561,"/",1,"aoa1","waistct.pla",22,6,107,2,3,2,2,2,14,3214
"259",1,270,517,"/",1,"aoa1","lettuce.pla",20,5,107,3,3,2,2,2,14,3214
"260",1,271,629,"/",1,"aoa1","broom.pla",31,8,107,4,3,2,2,2,14,3214
"261",1,272,475,"/",1,"aoa1","lettuce.pla",20,5,108,1,4,2,2,2,14,1342
"262",1,273,636,"/",1,"aoa1","camel.pla",25,7,108,2,4,2,2,2,14,1342
"263",1,274,535,"/",1,"aoa1","broom.pla",31,8,108,3,4,2,2,2,14,1342
"264",1,275,569,"/",1,"aoa1","waistct.pla",22,6,108,4,4,2,2,2,14,1342
"265",1,276,627,"/",1,"aoa1","broom.pla",31,8,109,1,5,2,2,2,14,4231
"266",1,277,491,"/",1,"aoa1","waistct.pla",22,6,109,2,5,2,2,2,14,4231
"267",1,278,431,"/",1,"aoa1","camel.pla",25,7,109,3,5,2,2,2,14,4231
"268",1,279,505,"/",1,"aoa1","lettuce.pla",20,5,109,4,5,2,2,2,14,4231
"269",1,280,527,"/",1,"aoa1","waistct.pla",22,6,110,1,6,2,2,2,14,2314
"270",1,281,534,"/",1,"aoa1","camel.pla",25,7,110,2,6,2,2,2,14,2314
"271",1,282,505,"/",1,"aoa1","lettuce.pla",20,5,110,3,6,2,2,2,14,2314
"272",1,283,620,"/",1,"aoa1","broom.pla",31,8,110,4,6,2,2,2,14,2314
"273",1,284,566,"/",1,"aoa1","eagle.pla",28,7,49,1,1,2,2,1,7,4213
"274",1,285,607,"/",1,"aoa1","beetle.pla",26,7,49,2,1,2,2,1,7,4213
"275",1,286,627,"/",1,"aoa1","camel.pla",25,7,49,3,1,2,2,1,7,4213
"276",1,287,540,"/",1,"aoa1","ostrich.pla",27,7,49,4,1,2,2,1,7,4213
"277",1,288,625,"/",1,"aoa1","beetle.pla",26,7,50,1,2,2,2,1,7,2341
"278",1,289,610,"/",1,"aoa1","ostrich.pla",27,7,50,2,2,2,2,1,7,2341
"279",1,290,602,"/",1,"aoa1","eagle.pla",28,7,50,3,2,2,2,1,7,2341
"280",1,291,496,"/",1,"aoa1","camel.pla",25,7,50,4,2,2,2,1,7,2341
"281",1,292,575,"/",1,"aoa1","ostrich.pla",27,7,51,1,3,2,2,1,7,3124
"282",1,293,631,"/",1,"aoa1","camel.pla",25,7,51,2,3,2,2,1,7,3124
"283",1,294,591,"/",1,"aoa1","beetle.pla",26,7,51,3,3,2,2,1,7,3124
"284",1,295,612,"/",1,"aoa1","eagle.pla",28,7,51,4,3,2,2,1,7,3124
"285",1,296,456,"/",1,"aoa1","camel.pla",25,7,52,1,4,2,2,1,7,1432
"286",1,297,598,"/",1,"aoa1","eagle.pla",28,7,52,2,4,2,2,1,7,1432
"287",1,298,511,"/",1,"aoa1","ostrich.pla",27,7,52,3,4,2,2,1,7,1432
"288",1,299,661,"/",1,"aoa1","beetle.pla",26,7,52,4,4,2,2,1,7,1432
"289",1,300,497,"/",1,"aoa1","eagle.pla",28,7,53,1,5,2,2,1,7,4213
"290",1,301,540,"/",1,"aoa1","beetle.pla",26,7,53,2,5,2,2,1,7,4213
"291",1,302,461,"/",1,"aoa1","camel.pla",25,7,53,3,5,2,2,1,7,4213
"292",1,303,534,"/",1,"aoa1","ostrich.pla",27,7,53,4,5,2,2,1,7,4213
"293",1,304,609,"/",1,"aoa1","beetle.pla",26,7,54,1,6,2,2,1,7,2341
"294",1,305,576,"/",1,"aoa1","ostrich.pla",27,7,54,2,6,2,2,1,7,2341
"296",1,307,555,"/",1,"aoa1","camel.pla",25,7,54,4,6,2,2,1,7,2341
"297",1,308,605,"/",1,"aoa1","cherry.pla",17,5,113,1,1,2,2,2,15,1432
"298",1,309,599,"/",1,"aoa1","pliers.pla",30,8,113,2,1,2,2,2,15,1432
"299",1,310,455,"/",1,"aoa1","eagle.pla",28,7,113,3,1,2,2,2,15,1432
"300",1,311,547,"/",1,"aoa1","shawl.pla",24,6,113,4,1,2,2,2,15,1432
"301",1,312,481,"/",1,"aoa1","eagle.pla",28,7,114,1,2,2,2,2,15,3214
"303",1,314,443,"/",1,"aoa1","cherry.pla",17,5,114,3,2,2,2,2,15,3214
"304",1,315,544,"/",1,"aoa1","pliers.pla",30,8,114,4,2,2,2,2,15,3214
"305",1,316,460,"/",1,"aoa1","shawl.pla",24,6,115,1,3,2,2,2,15,2143
"306",1,317,479,"/",1,"aoa1","cherry.pla",17,5,115,2,3,2,2,2,15,2143
"307",1,318,541,"/",1,"aoa1","pliers.pla",30,8,115,3,3,2,2,2,15,2143
"308",1,319,456,"/",1,"aoa1","eagle.pla",28,7,115,4,3,2,2,2,15,2143
"309",1,320,542,"/",1,"aoa1","pliers.pla",30,8,116,1,4,2,2,2,15,4321
"310",1,321,510,"/",1,"aoa1","eagle.pla",28,7,116,2,4,2,2,2,15,4321
"312",1,323,575,"/",1,"aoa1","cherry.pla",17,5,116,4,4,2,2,2,15,4321
"313",1,324,420,"/",1,"aoa1","shawl.pla",24,6,117,1,5,2,2,2,15,2413
"314",1,325,558,"/",1,"aoa1","pliers.pla",30,8,117,2,5,2,2,2,15,2413
"315",1,326,614,"/",1,"aoa1","cherry.pla",17,5,117,3,5,2,2,2,15,2413
"316",1,327,567,"/",1,"aoa1","eagle.pla",28,7,117,4,5,2,2,2,15,2413
"317",1,328,521,"/",1,"aoa1","cherry.pla",17,5,118,1,6,2,2,2,15,1342
"318",1,329,526,"/",1,"aoa1","eagle.pla",28,7,118,2,6,2,2,2,15,1342
"319",1,330,551,"/",1,"aoa1","pliers.pla",30,8,118,3,6,2,2,2,15,1342
"320",1,331,515,"/",1,"aoa1","shawl.pla",24,6,118,4,6,2,2,2,15,1342
"321",1,334,673,"/",1,"aoa1","pepper.pla",18,8,121,1,1,2,2,2,16,1432
"322",1,335,604,"/",1,"aoa1","chisel.pla",29,6,121,2,1,2,2,2,16,1432
"323",1,336,514,"/",1,"aoa1","ostrich.pla",27,7,121,3,1,2,2,2,16,1432
"324",1,337,485,"/",1,"aoa1","tights.pla",23,5,121,4,1,2,2,2,16,1432
"325",1,338,556,"/",1,"aoa1","chisel.pla",29,6,122,1,2,2,2,2,16,4123
"326",1,339,528,"/",1,"aoa1","pepper.pla",18,7,122,2,2,2,2,2,16,4123
"327",1,340,621,"/",1,"aoa1","tights.pla",23,5,122,3,2,2,2,2,16,4123
"328",1,341,529,"/",1,"aoa1","ostrich.pla",27,8,122,4,2,2,2,2,16,4123
"329",1,342,429,"/",1,"aoa1","tights.pla",23,6,123,1,3,2,2,2,16,2314
